nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean,profissao,tipo_profissao,primeiro_nome,sobrenome
Rua Sem Denominação  114 1,34053,1,0,0,0,0,0,1,0,53,1.8867924528301887,0,0,0,1.8867924528301887,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  114 1,700181,4,0,0,0,0,0,1,0,89,4.49438202247191,0,0,0,4.49438202247191,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  115 1,33871,2,0,0,0,0,0,1,0,53,3.7735849056603774,0,0,0,3.7735849056603774,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  115 2,700182,6,0,1,0,0,0,3,0,233,2.7027027027027026,0,0,0,2.627847789138112,0,0,0.3584229390681004,NA,NA,NA,NA
Rua Sem Denominação  116 1,700193,1,0,0,0,0,0,1,0,36,2.7777777777777777,0,0,0,2.7777777777777777,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  117 1,24007,2,0,0,0,0,0,2,0,132,1.6369047619047619,0,0,0,1.6369047619047619,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  117 1,700197,2,0,0,0,0,0,1,0,141,1.4184397163120568,0,0,0,1.4184397163120568,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  118 1,700198,3,0,0,0,0,0,3,0,396,0.9900990099009901,0,0,0,1.0362476925658668,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  119 1,700199,3,0,0,0,0,0,1,0,157,1.910828025477707,0,0,0,1.910828025477707,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  120 1,700200,2,0,0,0,0,0,2,0,218,0.9212305611899931,0,0,0,0.9212305611899931,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  121 1,700201,1,0,0,0,0,0,1,0,56,1.7857142857142856,0,0,0,1.7857142857142856,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  122 1,700202,1,0,0,0,0,0,1,0,978,0.10224948875255625,0,0,0,0.10224948875255625,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  123 1,700204,1,0,0,0,0,0,1,0,82,1.2195121951219512,0,0,0,1.2195121951219512,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  124 1,700205,1,0,0,0,0,0,1,0,30,3.3333333333333335,0,0,0,3.3333333333333335,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  126 4,35521,4,0,0,0,0,0,4,0,469,1.3513513513513513,0,0,0,1.4980778072600167,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  127 1,700206,1,0,0,0,0,0,1,0,217,0.4608294930875576,0,0,0,0.4608294930875576,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  128 1,700208,22,0,0,0,0,0,10,0,1076,2.35374149659864,0,0,0,2.602713476337601,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  129 1,700209,2,0,0,0,0,0,1,0,103,1.9417475728155338,0,0,0,1.9417475728155338,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  131 1,700214,2,0,0,0,0,0,1,0,433,0.4618937644341801,0,0,0,0.4618937644341801,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  132 1,700223,2,0,0,0,0,0,1,0,81,2.4691358024691357,0,0,0,2.4691358024691357,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  133 1,700224,2,0,0,0,0,0,1,0,60,3.3333333333333335,0,0,0,3.3333333333333335,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  133 1,700226,1,0,0,0,0,0,1,0,38,2.631578947368421,0,0,0,2.631578947368421,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  134 1,700227,3,0,0,0,0,0,2,0,29,22.083333333333332,0,0,0,22.083333333333332,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  135 1,700228,4,0,0,0,0,0,2,0,99,4.074074074074074,0,0,0,4.074074074074074,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  136 1,700229,2,0,0,0,0,0,1,0,58,3.4482758620689653,0,0,0,3.4482758620689653,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  138 2,700231,7,0,0,0,0,0,4,0,497,1.380952380952381,0,0,0,1.7327768599831899,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  139 1,700232,1,0,0,0,0,0,1,0,109,0.9174311926605505,0,0,0,0.9174311926605505,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  140 1,700233,1,0,0,0,0,0,1,0,69,1.4492753623188406,0,0,0,1.4492753623188406,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  141 1,700234,1,0,0,0,0,0,1,0,67,1.4925373134328357,0,0,0,1.4925373134328357,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  142 3,700235,7,0,0,0,0,0,5,0,674,1.7857142857142856,0,0,0,1.4520353246930473,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  143 1,700236,1,0,0,0,0,0,1,0,121,0.8264462809917356,0,0,0,0.8264462809917356,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  144 1,700238,2,0,0,0,0,0,1,0,71,2.8169014084507045,0,0,0,2.8169014084507045,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  145 1,700239,1,0,0,0,0,0,1,0,61,1.639344262295082,0,0,0,1.639344262295082,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  146 3,700252,6,0,0,0,0,0,3,0,172,3.6363636363636362,0,0,0,3.5294117647058822,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  147 2,700253,4,0,0,0,0,0,2,0,104,3.85899814471243,0,0,0,3.85899814471243,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  148 1,700257,3,0,0,0,0,0,1,0,37,8.108108108108109,0,0,0,8.108108108108109,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  149 1,700259,2,0,0,0,0,0,1,0,85,2.3529411764705883,0,0,0,2.3529411764705883,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  151 1,700269,3,0,0,0,0,0,3,0,138,1.7543859649122806,0,0,0,6.584795321637426,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  152 4,700270,6,0,0,0,0,0,4,0,1805,0.2999730965832661,0,0,0,0.31629183805837413,0,0,0,NA,NA,NA,NA
Rua Sem Denominação  153 2,700271,2,0,0,0,0,0,2,0,668,0.30047860664291626,0,0,0,0.30047860664291626,0,0,0,NA,NA,NA,NA
